"Date","Open","High","Low","Close","Volume"
"Jul 12, 2023","5,450.00","5,475.00","5,425.00","5,450.00","104,993,700"
"Jul 11, 2023","5,375.00","5,450.00","5,375.00","5,425.00","122,094,700"
"Jul 10, 2023","5,425.00","5,500.00","5,400.00","5,400.00","78,972,100"
"Jul 7, 2023","5,400.00","5,425.00","5,375.00","5,375.00","114,043,800"
"Jul 6, 2023","5,450.00","5,475.00","5,400.00","5,425.00","109,446,200"
"Jul 5, 2023","5,400.00","5,450.00","5,400.00","5,450.00","109,632,800"
"Jul 4, 2023","5,500.00","5,500.00","5,425.00","5,450.00","94,462,600"
"Jul 3, 2023","5,500.00","5,550.00","5,450.00","5,475.00","168,559,800"
"Jun 27, 2023","5,450.00","5,500.00","5,425.00","5,425.00","110,716,500"
"Jun 26, 2023","5,425.00","5,475.00","5,375.00","5,450.00","85,472,100"
"Jun 23, 2023","5,425.00","5,475.00","5,400.00","5,400.00","123,350,300"
"Jun 22, 2023","5,550.00","5,600.00","5,475.00","5,475.00","94,143,200"
"Jun 21, 2023","5,500.00","5,575.00","5,500.00","5,575.00","84,605,400"
"Jun 20, 2023","5,475.00","5,550.00","5,475.00","5,550.00","102,926,800"
"Jun 19, 2023","5,500.00","5,525.00","5,450.00","5,525.00","55,144,200"
"Jun 16, 2023","5,475.00","5,550.00","5,400.00","5,550.00","189,062,600"
"Jun 15, 2023","5,475.00","5,525.00","5,450.00","5,525.00","74,388,400"
"Jun 14, 2023","5,575.00","5,575.00","5,475.00","5,550.00","79,137,600"
"Jun 13, 2023","5,400.00","5,550.00","5,400.00","5,550.00","108,831,400"
"Jun 12, 2023","5,400.00","5,400.00","5,375.00","5,400.00","92,314,200"
"Jun 9, 2023","5,425.00","5,450.00","5,375.00","5,425.00","77,251,000"
"Jun 8, 2023","5,375.00","5,475.00","5,350.00","5,475.00","92,794,100"
"Jun 7, 2023","5,475.00","5,475.00","5,350.00","5,400.00","150,377,000"
"Jun 6, 2023","5,400.00","5,500.00","5,350.00","5,450.00","92,019,300"
"Jun 5, 2023","5,600.00","5,600.00","5,425.00","5,425.00","255,472,600"
"May 31, 2023","5,575.00","5,575.00","5,375.00","5,575.00","898,453,700"
"May 30, 2023","5,500.00","5,600.00","5,500.00","5,500.00","67,363,200"
"May 29, 2023","5,600.00","5,625.00","5,475.00","5,550.00","125,049,100"
"May 26, 2023","5,425.00","5,600.00","5,425.00","5,600.00","154,003,100"
"May 25, 2023","5,500.00","5,575.00","5,450.00","5,475.00","224,391,900"
"May 24, 2023","5,525.00","5,600.00","5,450.00","5,600.00","187,436,100"
"May 23, 2023","5,475.00","5,600.00","5,475.00","5,500.00","255,251,600"
"May 22, 2023","5,300.00","5,500.00","5,300.00","5,425.00","162,655,900"
"May 19, 2023","5,225.00","5,450.00","5,200.00","5,400.00","185,672,200"
"May 17, 2023","5,250.00","5,250.00","5,175.00","5,200.00","115,834,500"
"May 16, 2023","5,175.00","5,200.00","5,100.00","5,200.00","73,611,200"
"May 15, 2023","5,150.00","5,175.00","5,025.00","5,150.00","163,732,600"
"May 12, 2023","5,100.00","5,175.00","5,100.00","5,150.00","92,625,800"
"May 11, 2023","5,175.00","5,175.00","5,100.00","5,150.00","85,618,800"
"May 10, 2023","5,075.00","5,150.00","5,050.00","5,150.00","108,369,600"
"May 9, 2023","5,050.00","5,125.00","5,025.00","5,125.00","102,987,300"
"May 8, 2023","5,250.00","5,250.00","5,050.00","5,100.00","107,804,200"
"May 5, 2023","5,225.00","5,250.00","5,125.00","5,225.00","182,599,600"
"May 4, 2023","5,150.00","5,175.00","5,075.00","5,150.00","140,482,000"
"May 3, 2023","5,225.00","5,225.00","5,050.00","5,100.00","183,524,700"
"May 2, 2023","5,175.00","5,175.00","5,050.00","5,150.00","84,246,100"
"Apr 28, 2023","5,175.00","5,275.00","5,100.00","5,100.00","251,912,000"
"Apr 27, 2023","4,990.00","5,150.00","4,990.00","5,150.00","125,947,200"
"Apr 26, 2023","5,150.00","5,150.00","4,930.00","5,025.00","273,336,000"
"Apr 18, 2023","4,990.00","5,025.00","4,950.00","4,950.00","95,747,700"
"Apr 17, 2023","5,075.00","5,075.00","4,960.00","4,990.00","121,231,300"
"Apr 14, 2023","5,050.00","5,100.00","5,000.00","5,075.00","190,097,200"
"Apr 13, 2023","4,950.00","5,000.00","4,930.00","4,980.00","141,279,800"
"Apr 12, 2023","4,950.00","4,950.00","4,890.00","4,930.00","194,839,900"
"Apr 11, 2023","4,860.00","4,890.00","4,830.00","4,880.00","67,275,600"
"Apr 10, 2023","4,860.00","4,860.00","4,820.00","4,860.00","58,886,800"
"Apr 6, 2023","4,860.00","4,860.00","4,820.00","4,840.00","88,012,300"
"Apr 5, 2023","4,810.00","4,880.00","4,800.00","4,830.00","119,316,500"
"Apr 4, 2023","4,800.00","4,820.00","4,760.00","4,820.00","88,097,800"
"Apr 3, 2023","4,770.00","4,800.00","4,760.00","4,800.00","133,511,700"
"Mar 31, 2023","4,730.00","4,750.00","4,710.00","4,730.00","161,561,800"
"Mar 30, 2023","4,810.00","4,810.00","4,740.00","4,750.00","98,847,200"
"Mar 29, 2023","4,800.00","4,820.00","4,770.00","4,810.00","141,800,500"
"Mar 28, 2023","4,740.00","4,780.00","4,740.00","4,770.00","105,217,100"
"Mar 27, 2023","4,750.00","4,790.00","4,720.00","4,740.00","144,925,200"
"Mar 24, 2023","231.22","","","",""
"Mar 24, 2023","4,750.00","4,820.00","4,720.00","4,770.00","266,103,900"
"Mar 21, 2023","4,870.00","4,920.00","4,840.00","4,900.00","214,639,300"
"Mar 20, 2023","4,840.00","4,880.00","4,820.00","4,880.00","113,829,400"
"Mar 17, 2023","4,770.00","4,900.00","4,750.00","4,900.00","267,753,300"
"Mar 16, 2023","4,700.00","4,750.00","4,640.00","4,730.00","155,984,500"
"Mar 15, 2023","4,760.00","4,770.00","4,700.00","4,700.00","107,761,200"
"Mar 14, 2023","4,770.00","4,790.00","4,690.00","4,710.00","192,444,400"
"Mar 13, 2023","4,810.00","4,870.00","4,770.00","4,830.00","106,769,300"
"Mar 10, 2023","4,820.00","4,830.00","4,800.00","4,820.00","125,140,500"
"Mar 9, 2023","4,860.00","4,870.00","4,810.00","4,810.00","79,549,800"
"Mar 8, 2023","4,850.00","4,850.00","4,820.00","4,840.00","125,766,100"
"Mar 7, 2023","4,770.00","4,850.00","4,770.00","4,840.00","111,953,700"
